sentiment,message
1,"['death', 'summer', 'arctic', 'ice', 'earth', 'cooler', 'year', 'away', 'sooner', 'trigger', 'world', 'wide', 'climat', 'planet', 'break', 'supercharg', 'global', 'warm', 'leav', 'much', 'planet', 'hostil', 'life', 'abrupt', 'climat', 'chang', 'onli', 'matter', 'timeend', 'fossil', 'fuel']"
1,"['elsevi', 'editorsinchief', 'pleas', 'share', 'first', 'volum', 'energi', 'climat', 'chang', 'avail', 'sciencedirect', 'get', 'free', 'access', 'june']"
1,"['better', 'climat', 'chang', 'educ', 'improv', 'sustain', 'got', 'right', 'environment', 'justic', 'global', 'warm', 'climat', 'chang', 'environ', 'hometopstori']"
1,"['climat', 'chang', 'link', 'fix', 'climat', 'chang', 'climatechang', 'co', 'global', 'warm']"
0,"['climat', 'chang', 'th', 'hour', 'earth', 'climatechang', 'global', 'warm', 'globalwarm']"
1,"['year', 'scientist', 'govern', 'discuss', 'debat', 'effect', 'climat', 'chang', 'global', 'warm', 'veri', 'littl', 'ha', 'donehav', 'look', 'climat', 'chang', 'centuryenviron', 'climat', 'chang']"
2,"['grow', 'impact', 'climat', 'chang', 'alreadi', 'push', 'million', 'peopl', 'migrat', 'within', 'south', 'asian', 'countri', 'could', 'tripl', 'global', 'warm', 'continu', 'current', 'path', 'research', 'warn', 'reuter']"
1,"['desert', 'forest', 'turn', 'desert', 'forest', 'climat', 'chang', 'co', 'global', 'warm']"
1,"['feder', 'reserv', 'tuesday', 'took', 'signific', 'step', 'forward', 'climat', 'chang', 'announc', 'join', 'group', 'central', 'bank', 'focus', 'root', 'risk', 'warm', 'pose', 'global', 'financi', 'system', 'via', 'grist']"
1,"['cravecr', 'johnjakest', 'ordinari', 'men', 'requir', 'read', 'human', 'posit', 'powerthalidomidecovid', 'amp', 'co', 'lie', 'built', 'inconveni', 'truthsbabi', 'boomer', 'bust', 'due', 'season', 'flu', 'amp', 'old', 'agemilankovitch', 'cycl', 'caus', 'climat', 'changeobliqu', 'caus', 'global', 'warm']"
1,"['thalidomidecovid', 'amp', 'co', 'lie', 'built', 'inconveni', 'truthsbabi', 'boomer', 'bust', 'due', 'season', 'flu', 'amp', 'old', 'agemilankovitch', 'cycl', 'caus', 'climat', 'changeobliqu', 'caus', 'global', 'warmingprecess', 'caus', 'global', 'tsunami', 'vernal', 'equinoxeswwgwga', 'human']"
1,"['global', 'warm', 'like', 'caus', 'global', 'atmospher', 'circul', 'chang', 'progress', 'reveto', 'situat', 'similar', 'year', 'agoclimatechang', 'climat', 'climateact']"
1,"['planetwarm', 'carbon', 'dioxid', 'emiss', 'build', 'construct', 'jeopardis', 'global', 'goal', 'keep', 'devast', 'climat', 'chang', 'bay', 'reuter']"
1,"['warm', 'ocean', 'contribut', 'storm', 'could', 'drop', 'feet', 'snow', 'town', 'japan', 'thi', 'week', 'thi', 'isnt', 'kind', 'global', 'weird', 'defin', 'chang', 'climat', 'system', 'redefin', 'live', 'decad', 'come', 'climateact', 'climat']"
1,"['climat', 'chang', 'new', 'link', 'fix', 'climat', 'chang', 'climatechang', 'co', 'global', 'warm', 'cut', 'emiss']"
1,"['globeandmail', 'wonder', 'whyth', 'media', 'govt', 'lie', 'usth', 'milankovitch', 'cycl', 'caus', 'climat', 'chang', 'global', 'warm', 'global', 'tsunami', 'vernal', 'equinoxescovid', 'babi', 'boomer', 'bust', 'due', 'season', 'flu', 'old', 'age']"
1,"['global', 'co', 'emiss', 'fossil', 'fuel', 'industri', 'expect', 'drop', 'wont', 'slow', 'pace', 'global', 'warm', 'serv', 'uniqu', 'opportun', 'secur', 'longterm', 'emiss', 'cut', 'follow', 'econom', 'recoveri', 'align', 'tackl', 'climat', 'chang']"
1,"['un', 'climat', 'scienc', 'reposaid', 'way', 'world', 'manag', 'land', 'food', 'produc', 'consum', 'chang', 'curb', 'global', 'warm', 'food', 'secur', 'health', 'biodivers', 'would', 'riskclimatechang', 'climat']"
1,"['oil', 'major', 'exxon', 'mobil', 'corp', 'said', 'monday', 'plan', 'reduc', 'greenhous', 'ga', 'emiss', 'next', 'five', 'year', 'investor', 'climat', 'chang', 'campaign', 'ratchet', 'pressur', 'action', 'limit', 'global', 'warm', 'climat']"
1,"['emerg', 'call', 'climat', 'chang', 'guterr', 'unit', 'nation', 'secretarygener', 'antonio', 'guterr', 'hi', 'speech', 'climat', 'chang', 'summit', 'world', 'leader', 'take', 'action', 'avoid', 'global', 'warm', 'said', 'declar', 'climat', 'emerg']"
1,"['prefer', 'limit', 'global', 'warm', 'per', 'pari', 'agreement', 'five', 'year', 'old', 'thi', 'week', 'wa', 'chosen', 'would', 'significantli', 'reduc', 'risk', 'impact', 'climat', 'chang', 'fightforpoint', 'fridaysforfutur', 'digitalstrik', 'climatestrikeonlin', 'klimat', 'climat']"
1,"['thi', 'behavior', 'becaus', 'human', 'natur', 'global', 'warm', 'climat', 'chang', 'rain', 'come', 'today', 'even', 'night', 'till', 'th', 'decemb', 'night', 'mumbai', 'unseason', 'rain']"
1,"['veri', 'alarm', 'world', 'nov', 'montha', 'winter', 'month', 'record', 'warm', 'climat', 'month', 'warm', 'condit', 'persist', 'larg', 'swath', 'planet', 'climat', 'changeglob', 'warm', 'chang', 'food', 'fm', 'tea', 'ricelif', 'stylebodi', 'shapebehaviour', 'next', 'yrsour', 'next', 'gener']"
1,"['climat', 'chang', 'co', 'ghg', 'emiss', 'rapidli', 'reduc', 'world', 'like', 'exceed', 'global', 'warm', 'c', 'parisagr', 'seek', 'limit', 'warm', 'c', 'un', 'climatechang', 'climat', 'senat', 'unep', 'polit']"
-1,"['noaa', 'nw', 'noaanceiclim', 'nobodi', 'happier', 'climat', 'chang', 'wacko', 'lyin', 'jiebiden', 'might', 'presid', 'hoax', 'global', 'cool', 'oop', 'global', 'warm', 'oop', 'climat', 'chang', 'perpetu', 'climat']"
1,"['newblog', 'global', 'warm', 'local', 'discours', 'commun', 'around', 'world', 'make', 'sens', 'climat', 'chang', 'domen', 'rotundoread']"
1,"['global', 'warm', 'local', 'discours', 'constitut', 'signific', 'new', 'contribut', 'understand', 'multiperspect', 'debat', 'climat', 'chang', 'highlight', 'need', 'interdisciplinari', 'studi', 'within', 'thi', 'area']"
1,"['outnow', 'oa', 'global', 'warm', 'local', 'discours', 'commun', 'around', 'world', 'make', 'sens', 'climat', 'chang', 'michael', 'brggemann', 'simon', 'rdder', 'edsread', 'download', 'thi', 'titl', 'free', 'andor', 'get', 'hard', 'copi']"
1,"['limit', 'global', 'warm', 'degre', 'celsiu', 'degre', 'fahrenheit', 'scientist', 'say', 'would', 'avoid', 'catastroph', 'impact', 'climat', 'chang', 'countri', 'need', 'wind', 'fossil', 'fuel', 'product', 'everi', 'year', 'globalwarm', 'climat']"
1,"['deniseshrivel', 'mani', 'australian', 'actual', 'get', 'urgent', 'overarch', 'threat', 'climat', 'changeat', 'degeesc', 'global', 'warm', 'coral', 'wont', 'survivegreatbarrierreef', 'critic', 'condit', 'due', 'mass', 'bleach', 'marin', 'heat', 'wavesw', 'r', 'fast', 'run', 'timeclim']"
1,"['worri', 'global', 'warm', 'amp', 'climat', 'chang', 'realiz', 'earth', 'live', 'may', 'shed', 'us', 'like', 'viru', 'burn', 'us', 'climat', 'induc', 'fever', 'none', 'us', 'exist', 'planet', 'still', 'existi', 'one', 'welcom', 'sweet', 'silenc', 'erad', 'human']"
1,"['newzealand', 'ha', 'join', 'state', 'declar', 'emerg', 'countri', 'due', 'threat', 'climat', 'chang', 'accord', 'research', 'thi', 'island', 'nation', 'particularli', 'affect', 'global', 'warm']"
1,"['rtd', 'associ', 'professor', 'cotton', 'univers', 'assam', 'discuss', 'type', 'environ', 'compon', 'major', 'environment', 'issu', 'led', 'climat', 'chang', 'also', 'highlight', 'issu', 'like', 'global', 'warm', 'green', 'hous', 'effect']"
1,"['world', 'govern', 'plan', 'produc', 'doubl', 'amount', 'coal', 'oil', 'ga', 'would', 'consist', 'curb', 'global', 'warm', 'say', 'new', 'repoin', 'latest', 'warn', 'climat', 'chang', 'fossilfuel', 'productiongap', 'unep']"
1,"['optimist', 'analysi', 'netzero', 'target', 'thi', 'onli', 'indic', 'still', 'fight', 'global', 'warminga', 'chang', 'c', 'still', 'warm', 'level', 'threaten', 'planetw', 'need', 'real', 'climat', 'action', 'account', 'reduct', 'target', 'parisagr']"
1,"['climat', 'th', 'hour', 'earth', 'chang', 'climatechang', 'global', 'warm']"
1,"['shadycross', 'youtub', 'probabl', 'becaus', 'dont', 'know', 'wss', 'refer', 'tonazaren', 'meant', 'truth', 'tellerlik', 'milankovitch', 'cycl', 'caus', 'climat', 'chang', 'global', 'warm', 'global', 'tsunami', 'vernal', 'equinox', 'everi', 'lifetim']"
1,"['tmischuk', 'canadainperil', 'lumberist', 'like', 'rat', 'flee', 'sink', 'ship', 'vtvl', 'rocket', 'space', 'arcsmilankovitch', 'cycl', 'caus', 'climat', 'chang', 'global', 'warm', 'global', 'tsunami', 'vernal', 'equinoxesearth', 'close', 'loop', 'self', 'regul', 'co', 'life']"
0,"['mapark', 'lumberist', 'burnth', 'milankovitch', 'cycl', 'caus', 'climat', 'chang', 'global', 'warm', 'global', 'tsunami', 'vernal', 'equinoxescovid', 'babi', 'boomer', 'bust', 'season', 'flu', 'old', 'age']"
0,"['sure', 'wish', 'global', 'warm', 'would', 'get', 'level', 'concern', 'coronaviru', 'ha', 'next', 'decad', 'chang', 'climat', 'still', 'go', 'kill', 'displac', 'harm', 'peopl', 'viru', 'ever', 'willprior', 'polit', 'coronaviru', 'climat']"
1,"['lamphieryeg', 'whi', 'stop', 'call', 'global', 'warm', 'chang', 'climat', 'chang', 'hard', 'argu', 'climat', 'chang', 'wtf', 'climat', 'denier', 'leader', 'realli', 'stupid', 'fuck', 'sinist', 'agenda', 'justintrudeau', 'stupid', 'sinist', 'climat']"
1,"['bidenharri', 'johnkerri', 'joebiden', 'realli', 'mean', 'fight', 'climat', 'chang', 'stop', 'eu', 'log', 'million', 'acr', 'us', 'forest', 'bio', 'wood', 'increas', 'emissionsfuel', 'global', 'warm', 'call', 'green', 'keepitintheground', 'climatechang']"
1,"['johnkerri', 'ran', 'presidenti', 'primari', 'name', 'special', 'presidenti', 'envoy', 'climat', 'congratul', 'mr', 'kerri', 'ha', 'activ', 'advoc', 'climat', 'chang', 'amp', 'global', 'warm', 'climat', 'climateact', 'demvoic']"
1,"['climat', 'chang', 'link', 'fix', 'climat', 'chang', 'climatechang', 'co', 'global', 'warm', 'environ']"
1,"['year', 'ago', 'also', 'began', 'see', 'someth', 'els', 'impact', 'global', 'warm', 'climat', 'chang', 'desesurround', 'homeso', 'millet', 'author', 'wrote', 'climat']"
1,"['global', 'warm', 'climat', 'chang', 'often', 'use', 'interchang', 'two', 'term', 'distinct', 'mean', 'check', 'thi', 'interest', 'resourc', 'nasa', 'definit', 'climat']"
1,"['greenparti', 'climatepaiiplasticsimpact', 'climat', 'changeplast', 'petroleum', 'product', 'also', 'contribut', 'global', 'warm', 'plastic', 'wast', 'inciner', 'releas', 'carbon', 'dioxid', 'atmospher', 'therebi', 'increas', 'carbon', 'emiss']"
1,"['world', 'react', 'urgenc', 'climat', 'chang', 'coronaviru', 'crisi', 'red', 'cross', 'say', 'warn', 'global', 'warm', 'pose', 'greater', 'threat', 'covidread', 'globalwarm', 'climatecrisi', 'climat', 'climateact']"
1,"['climat', 'chang', 'pose', 'much', 'larger', 'threat', 'coronaviru', 'warn', 'red', 'cross', 'recent', 'call', 'nation', 'act', 'urgenc', 'issu', 'global', 'warmingclim', 'climateemerg', 'globalwarm', 'unfccc', 'covid', 'coronaviru', 'japan', 'joebiden']"
1,"['tuesday', 'red', 'cross', 'said', 'world', 'react', 'urgenc', 'climat', 'chang', 'coronaviru', 'crisi', 'warn', 'global', 'warm', 'pose', 'greater', 'threat', 'covid', 'climat', 'climatejusticenow', 'climateact', 'climatechang', 'climatejustic']"
-1,"['climat', 'chang', 'global', 'warm', 'global', 'cool']"
1,"['save', 'energi', 'veri', 'import', 'global', 'warmingglob', 'warmingclim', 'chang']"
1,"['mrbeastyt', 'milankovitch', 'cycl', 'caus', 'climat', 'changeobliqu', 'caus', 'global', 'warmingprecess', 'caus', 'global', 'tsunamiseccentr', 'triggercovid', 'lie', 'built', 'babi', 'boomer', 'bust', 'due', 'season', 'flu', 'amp', 'old', 'agethes', 'inconveni', 'truthswwgwga', 'human']"
-1,"['covid', 'amp', 'co', 'lie', 'built', 'inconveni', 'truthsmilankovitch', 'cycl', 'caus', 'climat', 'changeobliqu', 'caus', 'global', 'warmingprecess', 'caus', 'global', 'tsunami', 'equinoxseccentr', 'triggercovid', 'babi', 'boomer', 'bust', 'due', 'season', 'flu', 'amp', 'old', 'age']"
0,"['milankovitch', 'cycl', 'caus', 'climat', 'chang', 'obliqu', 'caus', 'global', 'warmingprecess', 'caus', 'global', 'tsunami', 'equinox', 'eccentr', 'triggerbuildthatwal', 'buildthatrrcovid', 'season', 'flu', 'babi', 'boomer', 'bust']"
